,Age,Potential,Value,Wage,Acceleration,Aggression,Agility,Balance,Ball_control,Composure,Crossing,Curve,Dribbling,Finishing,Sprint_speed,Stamina,Strength,Vision,Preferred_Positions
758,26,80.0,€12.5M,30000.0,56,74,63,55,79,80,57,68,73,79,67,92,82,58,ST 
760,22,85.0,€14.5M,84000.0,86,50,83,65,82,70,67,68,84,70,92,73,70,75,ST LW 
778,26,80.0,€12.5M,29000.0,66,77,63,58,72,79,58,50,67,82,74,80,81,65,ST 
785,25,82.0,€13.5M,28000.0,65,75,65,58,83,78,67,68,76,79,65,62,82,60,ST 
787,25,82.0,€13.5M,17000.0,77,77,75,63,79,77,57,69,80,74,83,77,83,72,ST 
791,26,81.0,€13M,36000.0,89,52,81,68,78,69,72,78,80,74,92,72,71,66,LW RW ST 
792,26,81.0,€13M,63000.0,79,80,79,73,74,76,65,75,75,82,76,84,77,72,ST 
798,32,78.0,€8.5M,6000.0,66,77,76,74,83,82,73,67,78,80,65,68,76,76,ST 
799,27,78.0,€11M,85000.0,64,67,65,55,74,78,56,59,66,82,66,72,80,61,ST 
802,34,78.0,€5.5M,25000.0,77,57,82,79,80,79,66,76,76,77,83,76,73,71,ST 
808,31,78.0,€9.5M,30000.0,71,69,79,65,75,76,71,67,75,79,79,74,78,78,RM ST 
809,23,82.0,€13.5M,53000.0,87,69,79,83,80,72,67,72,76,77,79,84,74,73,ST CAM 
817,35,78.0,€4.5M,20000.0,71,53,71,75,83,80,84,86,85,74,65,35,60,81,LM ST CAM RM 
824,28,78.0,€10.5M,49000.0,74,67,69,69,76,71,66,69,71,80,73,82,84,70,ST 
827,22,85.0,€15M,92000.0,82,69,75,61,75,70,69,54,77,79,84,74,82,71,RW LW ST 
829,33,78.0,€6.5M,72000.0,66,64,69,59,81,79,77,86,81,76,63,61,65,79,CAM ST 
836,25,82.0,€13.5M,17000.0,77,77,75,63,79,77,57,69,80,74,83,77,83,72,ST 
850,35,78.0,€4.8M,45000.0,79,79,78,83,84,80,70,78,82,80,78,69,62,76,ST 
858,25,82.0,€13.5M,28000.0,65,75,65,58,83,78,67,68,76,79,65,62,82,60,ST 
859,24,83.0,€14M,65000.0,57,61,62,39,80,70,51,68,69,78,66,56,91,65,ST 
860,32,78.0,€8M,45000.0,82,73,75,66,79,80,80,80,78,75,83,69,78,78,ST RM 
866,30,78.0,€10M,23000.0,77,65,71,72,80,75,60,64,72,83,76,69,73,70,ST 
867,35,78.0,€4.8M,15000.0,57,58,67,60,78,81,55,61,69,83,65,61,78,62,ST 
868,26,81.0,€13M,36000.0,89,52,81,68,78,69,72,78,80,74,92,72,71,66,LW RW ST 
882,30,78.0,€10M,28000.0,63,68,77,68,83,79,74,80,82,64,66,68,76,83,ST CAM 
884,30,78.0,€10M,41000.0,69,86,66,77,80,74,75,80,80,77,76,76,91,64,RM ST 
890,28,78.0,€10.5M,70000.0,66,75,50,32,78,70,61,65,71,77,65,83,93,73,ST 
891,31,78.0,€9.5M,38000.0,83,85,72,48,62,65,68,66,69,82,81,67,77,62,ST 
899,26,80.0,€12.5M,56000.0,73,72,76,66,76,74,64,72,74,78,73,76,80,61,ST 
902,24,83.0,€14M,13000.0,91,40,91,85,80,77,73,75,83,65,92,64,37,75,ST RM LM 
903,28,78.0,€10.5M,105000.0,86,76,82,76,82,69,75,62,87,64,87,76,82,65,LM ST RM 
910,31,78.0,€9.5M,15000.0,77,58,75,68,75,78,68,68,74,78,83,73,76,65,RW ST 
921,34,78.0,€5M,11000.0,64,68,67,64,78,79,59,72,79,79,65,66,73,74,LM ST CF CAM 
922,26,81.0,€13M,63000.0,79,80,79,73,74,76,65,75,75,82,76,84,77,72,ST 
924,25,77.0,€10M,10000.0,84,65,55,55,69,79,56,59,73,74,81,56,87,58,CF ST 
925,28,77.0,€0,0.0,90,51,83,70,75,77,72,71,79,80,91,70,65,65,RM ST 
926,24,83.0,€12.5M,30000.0,80,57,79,79,81,70,64,60,80,80,78,64,47,72,LM CAM ST 
929,27,78.0,€10.5M,27000.0,67,47,79,60,75,79,55,55,65,82,65,74,64,43,ST 
930,29,77.0,€8.5M,33000.0,87,72,93,95,80,74,68,77,83,71,75,77,47,71,ST RM LM 
932,26,80.0,€11M,24000.0,82,75,86,76,77,77,71,71,76,77,86,81,77,73,CAM LM ST 
937,33,77.0,€5.5M,29000.0,55,63,59,31,71,76,66,66,70,82,52,65,89,69,ST 
939,28,77.0,€9M,71000.0,76,59,76,66,83,72,64,76,86,75,78,75,77,66,ST LM 
940,24,81.0,€11.5M,64000.0,87,29,85,74,81,74,73,74,81,71,80,63,62,70,ST LM 
947,28,77.0,€9M,70000.0,67,60,65,59,74,73,33,49,66,83,67,69,85,52,ST 
976,29,77.0,€8.5M,65000.0,90,74,82,83,76,74,69,76,79,77,86,86,81,76,RW CAM ST LW 
983,31,77.0,€8M,19000.0,64,33,74,71,84,80,78,81,85,65,66,56,67,78,CF CAM ST LM 
992,28,77.0,€9M,30000.0,77,69,82,75,76,75,41,69,75,82,76,75,66,61,ST 
995,31,77.0,€8M,74000.0,76,80,83,71,78,70,66,53,77,74,73,79,69,69,ST CF 
998,23,85.0,€13M,68000.0,89,38,91,86,79,70,72,69,83,69,86,72,47,72,ST RM LM 
1002,33,77.0,€5.5M,17000.0,52,69,54,62,75,83,63,73,67,80,57,60,79,61,ST 
1006,30,77.0,€8.5M,26000.0,74,59,75,64,72,76,60,66,73,78,77,66,74,71,ST 
1017,27,78.0,€10.5M,41000.0,77,65,80,78,80,77,42,72,80,72,76,68,64,79,CAM ST CF 
1020,25,81.0,€11.5M,69000.0,87,50,78,71,74,72,63,69,77,82,92,73,77,56,CAM CF ST 
1023,34,77.0,€4.7M,34000.0,34,60,43,34,77,81,70,86,72,81,40,48,87,77,CAM CF ST 
1030,30,77.0,€8.5M,63000.0,79,66,87,74,87,72,66,81,86,78,75,69,62,63,LM CAM CF ST 
1033,26,80.0,€11M,63000.0,90,70,78,75,70,71,61,57,72,80,89,79,81,67,ST 
1043,26,79.0,€11M,67000.0,91,49,82,72,83,73,70,63,84,78,87,65,52,73,RW ST 
1053,24,82.0,€12M,36000.0,77,90,66,72,73,74,55,60,74,69,84,68,90,62,ST 
1056,26,80.0,€11M,49000.0,87,70,80,75,78,72,72,73,79,79,82,74,57,75,CAM LM ST 
1058,26,78.0,€10.5M,6000.0,93,57,93,93,73,74,65,41,79,77,91,76,69,72,CAM ST RM 
1066,34,77.0,€4.5M,67000.0,67,66,67,58,81,75,70,69,79,81,77,69,74,79,ST LW 
1067,24,80.0,€11.5M,43000.0,73,62,75,69,76,72,73,68,79,79,77,67,63,74,LW ST 
1071,25,77.0,€10M,35000.0,81,52,79,77,73,78,57,61,72,76,81,61,72,56,CF ST 
1072,23,82.0,€12M,30000.0,74,41,64,51,79,67,40,52,72,79,78,72,91,70,ST 
1074,25,80.0,€11.5M,40000.0,76,61,74,67,77,70,67,60,77,78,75,70,67,70,RM RW ST 
1081,21,85.0,€13.5M,84000.0,76,62,85,81,81,65,65,83,75,84,75,65,68,56,ST 
1089,23,84.0,€12.5M,46000.0,78,39,83,72,81,77,73,76,83,78,80,70,65,78,CAM ST 
1108,25,77.0,€10M,43000.0,84,65,55,55,69,79,56,59,73,74,81,56,87,58,CF ST 
1109,28,77.0,€9M,56000.0,70,80,61,67,77,70,59,66,72,72,74,66,90,61,ST 
1120,25,77.0,€10M,10000.0,81,52,79,77,73,78,57,61,72,76,81,61,72,56,CF ST 
1125,29,77.0,€9M,33000.0,64,74,54,56,73,77,50,38,63,81,74,68,84,58,ST 
1130,30,77.0,€8.5M,30000.0,70,77,66,63,72,77,68,66,71,76,68,83,77,69,RM ST 
1136,27,77.0,€9.5M,63000.0,67,73,57,47,75,71,50,58,75,74,77,73,93,62,ST 
1141,23,82.0,€12M,53000.0,82,55,80,75,80,67,64,66,81,76,78,68,68,75,RW LW ST CF 
1149,33,77.0,€5.5M,26000.0,65,66,92,68,85,78,51,78,74,78,64,64,71,55,ST 
1155,22,85.0,€13.5M,46000.0,83,67,77,77,75,73,64,66,74,78,82,58,72,60,ST 
1156,21,85.0,€13.5M,54000.0,84,49,83,73,75,66,64,51,73,77,77,82,72,80,LW ST 
1162,20,86.0,€14M,45000.0,83,72,87,78,82,80,61,74,84,73,80,78,65,74,ST LW 
1164,29,77.0,€9M,77000.0,81,82,74,66,70,73,62,46,65,77,85,91,80,72,RM RWB ST 
1170,26,77.0,€9.5M,17000.0,81,88,67,40,62,67,53,58,58,79,86,88,89,64,LM RM ST 
1183,27,78.0,€10.5M,54000.0,70,73,75,64,78,68,58,76,76,76,71,81,72,68,ST 
1189,29,77.0,€8.5M,15000.0,67,70,81,76,80,74,74,74,82,72,74,84,69,79,ST CM CAM 
1190,23,82.0,€12M,80000.0,68,78,64,69,75,74,35,54,68,80,72,76,80,58,ST 
1207,31,77.0,€8M,49000.0,79,76,76,63,80,75,72,64,75,77,75,76,82,73,RW ST 
1208,21,87.0,€14.5M,34000.0,75,59,83,68,80,79,64,78,80,79,77,68,71,73,ST 
1211,30,77.0,€8.5M,24000.0,77,48,79,75,86,74,70,79,86,76,78,69,63,73,LW ST 
1217,30,76.0,€7.5M,85000.0,84,80,73,73,75,70,70,54,73,73,82,80,78,63,ST 
1218,23,82.0,€10.5M,65000.0,82,47,73,71,77,70,51,63,76,80,77,64,64,54,ST 
1219,30,76.0,€7.5M,34000.0,41,59,68,51,77,75,54,75,71,80,44,36,81,63,ST 
1220,30,76.0,€7.5M,47000.0,77,72,69,64,70,75,68,73,74,73,79,86,75,72,RM ST 
1222,28,76.0,€8M,33000.0,67,64,67,71,72,83,37,56,75,80,68,73,75,72,ST 
1226,28,76.0,€8M,30000.0,62,64,74,73,73,75,67,72,68,80,59,85,60,73,ST 
1233,25,80.0,€10M,29000.0,83,76,76,73,80,69,55,67,77,76,79,84,67,77,RM CM ST 
1242,24,80.0,€10M,92000.0,83,60,77,79,76,70,62,57,77,77,82,75,73,68,ST 
1247,25,77.0,€9M,50000.0,85,71,84,85,75,78,70,72,81,73,84,91,36,72,ST LW 
1249,33,76.0,€4.8M,28000.0,76,60,84,78,75,74,60,67,78,85,64,66,57,66,CAM ST 
1251,28,76.0,€8M,33000.0,58,60,64,56,69,82,56,54,63,81,63,68,75,58,ST 
1260,27,77.0,€9M,63000.0,57,80,53,57,77,75,59,61,71,78,59,79,86,70,ST 
1268,29,76.0,€7.5M,18000.0,80,65,79,80,76,80,56,73,74,78,77,73,76,70,ST 
1275,33,76.0,€4.8M,56000.0,55,79,39,44,70,78,65,66,65,79,53,66,81,71,ST 
1293,26,78.0,€9.5M,42000.0,66,65,61,65,74,71,52,65,69,83,67,73,76,70,ST 
1297,26,76.0,€8.5M,15000.0,78,59,73,68,78,76,77,82,78,77,82,56,68,73,RM ST LM 
1298,36,76.0,€2.6M,11000.0,68,60,71,76,80,68,70,83,77,72,61,35,67,73,CM ST CAM 
1299,26,79.0,€9.5M,59000.0,73,60,73,76,76,76,56,68,74,80,77,68,68,58,ST 
1304,34,76.0,€3.9M,13000.0,69,65,72,82,80,81,78,81,82,72,67,57,55,76,CF ST LM 
1308,30,76.0,€7.5M,35000.0,86,51,87,85,77,53,69,58,75,77,81,77,59,70,ST CAM LM RM 
1311,27,76.0,€8M,68000.0,76,41,75,64,75,75,68,69,77,77,78,76,71,69,ST LM 
1317,24,79.0,€10M,26000.0,77,43,76,66,73,71,77,54,78,78,72,67,75,52,LM LW ST 
1323,27,77.0,€9M,29000.0,69,76,65,76,76,70,51,52,68,80,68,68,84,51,ST 
1331,29,76.0,€7.5M,12000.0,73,52,68,72,72,73,55,71,67,81,75,75,80,65,ST 
1335,23,81.0,€10.5M,18000.0,76,74,69,63,72,76,67,65,73,74,82,72,82,67,LW ST 
1341,33,76.0,€4.8M,63000.0,69,78,77,64,75,80,62,66,72,77,72,78,77,69,ST 
1345,27,77.0,€9M,34000.0,77,83,78,71,76,77,52,70,69,79,75,72,78,59,ST 
1354,20,85.0,€12M,54000.0,78,63,88,82,80,72,72,71,78,79,78,66,55,69,RW ST 
1356,26,77.0,€9M,14000.0,77,70,78,64,75,74,72,65,77,76,77,73,66,71,ST LM RM 
1359,24,81.0,€10.5M,65000.0,95,33,88,84,76,72,67,60,78,78,92,89,48,66,LM ST 
1363,31,76.0,€7M,23000.0,76,45,78,74,78,78,62,70,76,76,76,74,78,74,ST 
1368,26,77.0,€9M,56000.0,75,68,79,78,77,71,69,73,80,74,76,75,71,74,RM LM ST 
1370,29,76.0,€7.5M,51000.0,76,83,75,61,72,76,64,67,75,75,76,76,83,70,ST 
1371,22,82.0,€10.5M,39000.0,74,61,77,75,77,75,66,77,79,73,74,68,58,77,RW ST CAM 
1375,27,77.0,€9M,96000.0,82,78,85,78,77,72,50,68,75,80,85,74,61,61,ST 
1376,29,76.0,€7.5M,31000.0,73,57,62,56,75,65,61,62,76,78,78,61,69,65,CF ST 
1380,30,76.0,€7.5M,11000.0,79,63,83,79,75,74,67,75,76,71,74,70,61,78,RM ST CAM 
1381,24,81.0,€10.5M,30000.0,79,50,78,79,77,76,70,65,81,79,77,79,50,70,ST 
1382,27,76.0,€8M,12000.0,68,85,69,51,70,71,49,66,70,76,75,77,90,72,ST 
1383,26,77.0,€9M,21000.0,50,42,60,57,73,72,67,63,64,75,59,75,79,70,ST 
1386,24,81.0,€10.5M,59000.0,73,58,71,60,76,70,50,64,72,79,78,69,80,48,ST 
1389,25,79.0,€10M,38000.0,78,33,80,71,78,48,50,74,78,76,81,81,77,72,LW CAM ST 
1393,22,83.0,€11M,50000.0,75,78,63,54,72,67,60,52,64,77,74,72,87,61,ST 
1395,26,79.0,€9.5M,29000.0,79,65,79,76,76,70,66,41,73,75,82,75,72,64,ST 
1396,27,76.0,€8M,16000.0,63,80,53,47,76,67,48,38,74,76,58,66,83,53,ST 
1400,27,77.0,€9M,30000.0,82,35,83,72,78,72,76,71,78,74,81,70,59,71,RM ST 
1403,32,76.0,€6M,59000.0,68,50,72,66,74,78,50,65,68,78,69,68,78,60,ST 
1407,25,79.0,€10M,71000.0,75,75,79,71,78,70,70,77,80,73,77,74,74,70,RM LM ST 
1409,24,79.0,€10M,37000.0,80,72,69,71,76,78,64,50,76,78,78,73,78,68,ST 
1425,27,77.0,€9M,70000.0,86,50,76,74,72,75,70,71,75,75,85,85,68,62,RW ST 
